Company,Sector & Subsector,Forge Price1,Last Matched Price,Share Class,Post-Money Valuation2,Price Per Share,Amount Raised
OpenAI,Enterprise Software Data Intelligence,$723.12 +$253.65 (54.03%),$xx.xx,Funding Round,--,--,--
xAI,Enterprise Software Data Intelligence,$39.67 -$2.27 (-5.41%),$xx.xx,Series C,$50B,$21.65,$6B
Anduril,Industrial Aerospace & Defense,$82.36,$xx.xx,Series G,$30.5B,$40.88,$2.5B
SpaceX,Industrial Aerospace & Defense,$237.01 +$0.48 (0.2%),$xx.xx,Series N,$46.08B,$270.00,$1.9B
Anthropic,Enterprise Software Data Intelligence,$162.15 +$21.18 (15.02%),$xx.xx,Series F-4,$183B,$140.97,$779.96MM
Databricks,Enterprise Software Data Intelligence,$180.00 +$30.00 (20%),$xx.xx,Series K,$100B,$150.00,$1.13B
Figure AI,Industrial Robotics,$174.00,$xx.xx,Series C,$39B,$194.93,$750MM
Cursor,Enterprise Software Productivity,--,$xx.xx,--,--,--,--
Perplexity,Enterprise Software Data Intelligence,$695.44 +$65.95 (10.48%),$xx.xx,Series E-6,$20.02B,$695.44,$200MM
BillionToOne,Healthcare Biotech & Pharma,--,$xx.xx,Series D,$1.25B,$28.02,$130.47MM
Cerebras,Technology Hardware Computing Hardware,$36.00,$xx.xx,Series G,$8.1B,$36.23,$1.1B
Polymarket,Fintech Blockchain Software,--,$xx.xx,--,--,--,--
OpenEvidence,Healthcare Healthcare Software,--,$xx.xx,Series B-1,$3.5B,$150.87,$30MM
Helsing,Enterprise Software Data Intelligence,--,$xx.xx,Series B,--,--,--
Stripe,Fintech Payments,$36.29 -$1.56 (-4.12%),$xx.xx,stripe tender offer,--,--,--
Kraken,Fintech Blockchain,$45.77,$xx.xx,Series C,$15B,$48.82,$500MM
Groq,Enterprise Software Data Intelligence,$32.00 -$0.22 (-0.68%),$xx.xx,Series D-3,$6.9B,$32.16,$750MM
Kalshi,Fintech Fintech Software,--,$xx.xx,Series C,$1.31B,$44.96,$118.59MM
Revolut,Fintech Personal Finance,"$1,381.06",$xx.xx,Series E,--,--,--
Commonwealth Fusion,Energy Clean Energy,--,$xx.xx,--,--,--,--
PsiQuantum,Technology Hardware Computing Hardware,$29.27 +$0.46 (1.6%),$xx.xx,Series E,$7B,$41.13,$969.82MM
Lambda,Enterprise Software Cloud / Networking Infrastructure,$40.95,$xx.xx,Series E-1,$6.64B,$32.27,$1.2B
Scale AI,Enterprise Software Data Intelligence,$19.64,$xx.xx,Series G-2,$29.18B,$19.64,$7.15B
Ripple,Fintech Payments,$138.07 +$13.55 (10.88%),$xx.xx,Series C,$9.99B,$61.49,$200MM
